Referral,Asset,Total Fee
intents.tg,nep245:v2_1.omni.hot.tg:56_2w93GqMcEmQFDru84j3HZZWt557r,1256270029250000100
intents.tg,nep245:v2_1.omni.hot.tg:56_SZzgw3HSudhZcTwPWUTi2RJB19t,476577123227337900
iqlusion,nep141:eth.omft.near,5000000000000
kyberswap,nep141:17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1,1877600520.814502
kyberswap,nep141:arb-0x912ce59144191c1204e64559fe8253a0e49e6548.omft.near,2007939957424405000
kyberswap,nep141:arb-0xaf88d065e77c8cc2239327c5edb3a432268e5831.omft.near,1127836998.2585
kyberswap,nep141:arb-0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9.omft.near,407688609.7320002
kyberswap,nep141:arb.omft.near,36694282573433780
kyberswap,nep141:base-0x833589fcd6edb6e08f4c7c32d4f71b54bda02913.omft.near,1369612342.0720007
kyberswap,nep141:base-0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf.omft.near,9767.0455
kyberswap,nep141:base.omft.near,107995164638092720
kyberswap,nep141:bera.omft.near,6527830916731715000
kyberswap,nep141:btc.omft.near,7684420.06
kyberswap,nep141:eth-0x1f9840a85d5af5bf1d1762f925bdaddc4201f984.omft.near,7701157846389643
kyberswap,nep141:eth-0x514910771af9ca656af840dff83e8264ecf986ca.omft.near,1967149577430350
kyberswap,nep141:eth-0x6b175474e89094c44da98b954eedeac495271d0f.omft.near,60610000000000000000
kyberswap,nep141:eth-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.omft.near,651845627.3949999
kyberswap,nep141:eth-0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf.omft.near,55911.75400000001
kyberswap,nep141:eth-0xdac17f958d2ee523a2206206994597c13d831ec7.omft.near,1259584956.6364996
kyberswap,nep141:eth-0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202.omft.near,3169922580462399500
kyberswap,nep141:eth.bridge.near,10465817378088624
kyberswap,nep141:eth.omft.near,2125679170525052000
kyberswap,nep141:mpdao-token.near,240567.1525
kyberswap,nep141:nbtc.bridge.near,12.330000000000002
kyberswap,nep141:sol-1f00bb36e75cfc8e1274c1507cc3054f5b3f3ce1.omft.near,554920000
kyberswap,nep141:sol-5ce3bf3a31af18be40ba30f721101b4341690186.omft.near,19285377435.852478
kyberswap,nep141:sol-c800a4bd850783ccb82c2b2c7e84175443606352.omft.near,6913328871.051497
kyberswap,nep141:sol.omft.near,1004935395.1435
kyberswap,nep141:token.publicailab.near,52350000000000000
kyberswap,nep141:token.rhealab.near,8801575000000000000
kyberswap,nep141:token.sweat,5498000000000000000
kyberswap,nep141:usdt.tether-token.near,212751264.5865
kyberswap,nep141:wrap.near,1.994444243070263e+25
kyberswap,nep245:v2_1.omni.hot.tg:137_3hpYoaLtt8MP1Z2GH1U473DMRKgr,56004067.631
kyberswap,nep245:v2_1.omni.hot.tg:137_qiStmoQJDQPTebaPjgx5VBxZv6L,83012647.467
kyberswap,nep245:v2_1.omni.hot.tg:56_12zbnsg6xndDVj25QyL82YMPudb,16029433486924030000
kyberswap,nep245:v2_1.omni.hot.tg:56_2CMMyVTGZkeyNZTSvS5sarzfir6g,813539468579695500000
kyberswap,nep245:v2_1.omni.hot.tg:56_2w93GqMcEmQFDru84j3HZZWt557r,273747382469378900000
miquel,nep141:jambo-1679.meme-cooking.near,0
miquel,nep141:usdt.tether-token.near,0
miquel,nep141:wrap.near,0
miquelswap,nep141:17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1,0
miquelswap,nep141:wrap.near,0
mosaic-vint.near,nep141:17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1,3860.42
mosaic-vint.near,nep141:eth.bridge.near,12020890046193.88
mosaic-vint.near,nep141:usdt.tether-token.near,13809.619999999999
mosaic-vint.near,nep141:wrap.near,2.1965077409485264e+22
near-intents.intents-referral.near,nep141:17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1,1621382229.217999
near-intents.intents-referral.near,nep141:a35923162c49cf95e6bf26623385eb431ad920d3.factory.bridge.near,1016309439457000000
near-intents.intents-referral.near,nep141:aaaaaa20d9e0e2461697782ef11675f668207961.factory.bridge.near,3.412606432351374e+21
near-intents.intents-referral.near,nep141:abg-966.meme-cooking.near,491976738210161700
near-intents.intents-referral.near,nep141:aptos-88cb7619440a914fe6400149a12b443c3ac21d59.omft.near,254885.97
near-intents.intents-referral.near,nep141:aptos.omft.near,1318618393.774
near-intents.intents-referral.near,nep141:arb-0x912ce59144191c1204e64559fe8253a0e49e6548.omft.near,363417913809651650
near-intents.intents-referral.near,nep141:arb-0xaf88d065e77c8cc2239327c5edb3a432268e5831.omft.near,10112316978.482004
near-intents.intents-referral.near,nep141:arb-0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9.omft.near,1658823300.9859996
near-intents.intents-referral.near,nep141:arb.omft.near,399385986832273100
near-intents.intents-referral.near,nep141:base-0x833589fcd6edb6e08f4c7c32d4f71b54bda02913.omft.near,1700792096.5779998
near-intents.intents-referral.near,nep141:base-0x98d0baa52b2d063e780de12f615f963fe8537553.omft.near,12480458236048249000
near-intents.intents-referral.near,nep141:base-0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf.omft.near,32.278
near-intents.intents-referral.near,nep141:base.omft.near,46739952260230296
near-intents.intents-referral.near,nep141:bera.omft.near,7660430341825858000
near-intents.intents-referral.near,nep141:btc.omft.near,67932143.05800006
near-intents.intents-referral.near,nep141:cardano.omft.near,105330297.42199999
near-intents.intents-referral.near,nep141:doge.omft.near,126212257757.47203
near-intents.intents-referral.near,nep141:eth-0x1f9840a85d5af5bf1d1762f925bdaddc4201f984.omft.near,324503572495874100
near-intents.intents-referral.near,nep141:eth-0x2260fac5e5542a773aa44fbcfedf7c193bc2c599.omft.near,1002.702
near-intents.intents-referral.near,nep141:eth-0x514910771af9ca656af840dff83e8264ecf986ca.omft.near,13111829134935262
near-intents.intents-referral.near,nep141:eth-0x6b175474e89094c44da98b954eedeac495271d0f.omft.near,4.403398343042285e+21
near-intents.intents-referral.near,nep141:eth-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.omft.near,21550078265.233994
near-intents.intents-referral.near,nep141:eth-0xa35923162c49cf95e6bf26623385eb431ad920d3.omft.near,18510681117553160
near-intents.intents-referral.near,nep141:eth-0xaaaaaa20d9e0e2461697782ef11675f668207961.omft.near,383584292695090100000
near-intents.intents-referral.near,nep141:eth-0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf.omft.near,1628.5140000000001
near-intents.intents-referral.near,nep141:eth-0xdac17f958d2ee523a2206206994597c13d831ec7.omft.near,14238678404.147999
near-intents.intents-referral.near,nep141:eth-0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202.omft.near,375217337644265340
near-intents.intents-referral.near,nep141:eth-0xfa2b947eec368f42195f24f36d2af29f7c24cec2.omft.near,18250410601012617000
near-intents.intents-referral.near,nep141:eth.bridge.near,14735865937404046
near-intents.intents-referral.near,nep141:eth.omft.near,2812221479190902300
near-intents.intents-referral.near,nep141:gnosis-0x2a22f9c3b484c3629090feed35f17ff8f88f76f0.omft.near,1424188.064
near-intents.intents-referral.near,nep141:gnosis-0x420ca0f9b9b604ce0fd9c18ef134c705e5fa3430.omft.near,204827690754580540
near-intents.intents-referral.near,nep141:gnosis-0x6a023ccd1ff6f2045c3309768ead9e68f978f6e1.omft.near,9219122173876906
near-intents.intents-referral.near,nep141:gnosis-0x9c58bacc331c9aa871afd802db6379a98e80cedb.omft.near,50079997626580720
near-intents.intents-referral.near,nep141:jambo-1679.meme-cooking.near,2.6730690949141137e+22
near-intents.intents-referral.near,nep141:kat.token0.near,3.3000000475161654e+22
near-intents.intents-referral.near,nep141:mpdao-token.near,50000
near-intents.intents-referral.near,nep141:nbtc.bridge.near,171835.12399999998
near-intents.intents-referral.near,nep141:sol-1f00bb36e75cfc8e1274c1507cc3054f5b3f3ce1.omft.near,6384644146.62
near-intents.intents-referral.near,nep141:sol-5ce3bf3a31af18be40ba30f721101b4341690186.omft.near,2595669408.771998
near-intents.intents-referral.near,nep141:sol-b9c68f94ec8fd160137af8cdfe5e61cd68e2afba.omft.near,153.002
near-intents.intents-referral.near,nep141:sol-bb27241c87aa401cc963c360c175dd7ca7035873.omft.near,12163452.682
near-intents.intents-referral.near,nep141:sol-c58e6539c2f2e097c251f8edf11f9c03e581f8d4.omft.near,20974.532
near-intents.intents-referral.near,nep141:sol-c800a4bd850783ccb82c2b2c7e84175443606352.omft.near,2865583641.0000005
near-intents.intents-referral.near,nep141:sol.omft.near,64171033884.07199
near-intents.intents-referral.near,nep141:sui-c1b81ecaf27933252d31a963bc5e9458f13c18ce.omft.near,490542815.4599999
near-intents.intents-referral.near,nep141:sui.omft.near,68194134447.897995
near-intents.intents-referral.near,nep141:token.0xshitzu.near,50215357089224850000
near-intents.intents-referral.near,nep141:token.publicailab.near,793000733703097100
near-intents.intents-referral.near,nep141:token.rhealab.near,316589985921670200000
near-intents.intents-referral.near,nep141:token.sweat,1.95199339831e+21
near-intents.intents-referral.near,nep141:tron-d28a265909efecdcee7c5028585214ea0b96f015.omft.near,4681568497.988001
near-intents.intents-referral.near,nep141:tron.omft.near,462382612.43999994
near-intents.intents-referral.near,nep141:usdt.tether-token.near,607542701.9559999
near-intents.intents-referral.near,nep141:wrap.near,3.034545861273575e+27
near-intents.intents-referral.near,nep141:xrp.omft.near,1876206863.1039999
near-intents.intents-referral.near,nep141:zec.omft.near,26436488023.957996
near-intents.intents-referral.near,nep245:v2_1.omni.hot.tg:10_11111111111111111111,5789636809272900
near-intents.intents-referral.near,nep245:v2_1.omni.hot.tg:10_359RPSJVdTxwTJT9TyGssr2rFoWo,291157.016
near-intents.intents-referral.near,nep245:v2_1.omni.hot.tg:10_A2ewyUyDp6qsue1jqZsGypkCxRJ,2319433.224
near-intents.intents-referral.near,nep245:v2_1.omni.hot.tg:10_vLAiSt9KfUGKpw5cD3vsSyNYBo7,19658771066750736
near-intents.intents-referral.near,nep245:v2_1.omni.hot.tg:1100_111bzQBB5v7AhLyPMDwS8uJgQV24KaAPXtwyVWu2KXbbfQU6NXRCz,228936913.682
near-intents.intents-referral.near,nep245:v2_1.omni.hot.tg:1100_111bzQBB65GxAPAVoxqmMcgYo5oS3txhqs1Uh1cgahKQUeTUq1TJu,1560701092.654
near-intents.intents-referral.near,nep245:v2_1.omni.hot.tg:1117_,71102586349.53201
near-intents.intents-referral.near,nep245:v2_1.omni.hot.tg:1117_3tsdfyziyc7EJbP2aULWSKU4toBaAcN4FdTgfm5W1mC4ouR,33695445.044
near-intents.intents-referral.near,nep245:v2_1.omni.hot.tg:137_11111111111111111111,241125515819317040000
near-intents.intents-referral.near,nep245:v2_1.omni.hot.tg:137_3hpYoaLtt8MP1Z2GH1U473DMRKgr,11780222.968000002
near-intents.intents-referral.near,nep245:v2_1.omni.hot.tg:137_qiStmoQJDQPTebaPjgx5VBxZv6L,339317841.278
near-intents.intents-referral.near,nep245:v2_1.omni.hot.tg:43114_11111111111111111111,3410468550557332500
near-intents.intents-referral.near,nep245:v2_1.omni.hot.tg:43114_372BeH7ENZieCaabwkbWkBiTTgXp,2003017.512
near-intents.intents-referral.near,nep245:v2_1.omni.hot.tg:43114_3atVJH3r5c4GqiSYmg9fECvjc47o,359792743.28599995
near-intents.intents-referral.near,nep245:v2_1.omni.hot.tg:56_11111111111111111111,1000439359121073800
near-intents.intents-referral.near,nep245:v2_1.omni.hot.tg:56_12zbnsg6xndDVj25QyL82YMPudb,35839438725946028
near-intents.intents-referral.near,nep245:v2_1.omni.hot.tg:56_24S22V8GMmQN8t6PbCdRb3mBewAd,97825599076990600
near-intents.intents-referral.near,nep245:v2_1.omni.hot.tg:56_2CMMyVTGZkeyNZTSvS5sarzfir6g,602093202829936400000
near-intents.intents-referral.near,nep245:v2_1.omni.hot.tg:56_2w93GqMcEmQFDru84j3HZZWt557r,89988690557502360000
near-intents.intents-referral.near,nep245:v2_1.omni.hot.tg:56_SZzgw3HSudhZcTwPWUTi2RJB19t,2000000000000000
rango,nep141:btc.omft.near,4790.55
rango,nep141:xrp.omft.near,3000
referral,nep141:17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1,242541.2
referral,nep141:arb-0xaf88d065e77c8cc2239327c5edb3a432268e5831.omft.near,60494.020000000004
referral,nep141:base-0x833589fcd6edb6e08f4c7c32d4f71b54bda02913.omft.near,45145610.60000001
referral,nep141:btc.omft.near,153783.378
referral,nep141:d9c2d319cd7e6177336b0a9c93c21cb48d84fb54.factory.bridge.near,31452031157705444
referral,nep141:eth-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.omft.near,82744445.601
referral,nep141:eth-0xdac17f958d2ee523a2206206994597c13d831ec7.omft.near,36538849.269
referral,nep141:eth.omft.near,357244154294182200
referral,nep141:gnosis-0x2a22f9c3b484c3629090feed35f17ff8f88f76f0.omft.near,26740
referral,nep141:jambo-1679.meme-cooking.near,6339715061545501000
referral,nep141:sol-c800a4bd850783ccb82c2b2c7e84175443606352.omft.near,356365.81
referral,nep141:sol.omft.near,840450050
referral,nep141:sui.omft.near,61025650
referral,nep141:usdt.tether-token.near,20
referral,nep141:wrap.near,1.0010799166745458e+26
referral,nep141:zec.omft.near,449.99999999999994
referral,nep245:v2_1.omni.hot.tg:1100_111bzQBB5v7AhLyPMDwS8uJgQV24KaAPXtwyVWu2KXbbfQU6NXRCz,491219.04000000004
referral,nep245:v2_1.omni.hot.tg:1117_,570181.74
referral,nep245:v2_1.omni.hot.tg:43114_11111111111111111111,1728000000000000
referral,nep245:v2_1.omni.hot.tg:56_11111111111111111111,1260000000000000
referral,nep245:v2_1.omni.hot.tg:56_2w93GqMcEmQFDru84j3HZZWt557r,85500000000000000
reffer.near,nep141:17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1,0
rubic,nep141:arb.omft.near,6000000000000
solswap.intents-referral.near,nep141:aptos-88cb7619440a914fe6400149a12b443c3ac21d59.omft.near,222252.20400000003
solswap.intents-referral.near,nep141:arb-0xaf88d065e77c8cc2239327c5edb3a432268e5831.omft.near,830279607.1699998
solswap.intents-referral.near,nep141:arb-0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9.omft.near,93235932.294
solswap.intents-referral.near,nep141:arb.omft.near,1250937566199687.8
solswap.intents-referral.near,nep141:base-0x833589fcd6edb6e08f4c7c32d4f71b54bda02913.omft.near,37043475.312
solswap.intents-referral.near,nep141:base.omft.near,35557013631066.734
solswap.intents-referral.near,nep141:btc.omft.near,1212089.3540000003
solswap.intents-referral.near,nep141:doge.omft.near,3330798153.916
solswap.intents-referral.near,nep141:eth-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.omft.near,13014355768.517998
solswap.intents-referral.near,nep141:eth-0xdac17f958d2ee523a2206206994597c13d831ec7.omft.near,2013350269.4820006
solswap.intents-referral.near,nep141:eth.omft.near,271202630786793150
solswap.intents-referral.near,nep141:sol-5ce3bf3a31af18be40ba30f721101b4341690186.omft.near,17390655099.796013
solswap.intents-referral.near,nep141:sol-c800a4bd850783ccb82c2b2c7e84175443606352.omft.near,10081085650.651999
solswap.intents-referral.near,nep141:sol.omft.near,60917507914.06006
solswap.intents-referral.near,nep141:sui-c1b81ecaf27933252d31a963bc5e9458f13c18ce.omft.near,1462624.76
solswap.intents-referral.near,nep141:sui.omft.near,34186106603.804
solswap.intents-referral.near,nep141:token.rhealab.near,3796107468436427000
solswap.intents-referral.near,nep141:tron-d28a265909efecdcee7c5028585214ea0b96f015.omft.near,8000000
solswap.intents-referral.near,nep141:tron.omft.near,2112488.69
solswap.intents-referral.near,nep141:wrap.near,8.878281240342442e+25
solswap.intents-referral.near,nep141:zec.omft.near,17154552306.294003
solswap.intents-referral.near,nep245:v2_1.omni.hot.tg:10_11111111111111111111,141384513501735.34
solswap.intents-referral.near,nep245:v2_1.omni.hot.tg:10_vLAiSt9KfUGKpw5cD3vsSyNYBo7,2380535404285558300
